Version;Date_measurement;RWZI_AWZI_code;RWZI_AWZI_name;RNA_per_ml;RNA_flow_per_100000
1;2020-03-30;32002;Tilburg;1837;
1;2020-03-31;3010;Assen;2254;
1;2020-03-31;1033;Garmerwolde;427;
1;2020-03-31;2032;Harlingen;869;
1;2020-03-31;2011;Leeuwarden;424;
1;2020-03-31;1008;Stadskanaal;200;
1;2020-03-31;10009;Utrecht;1826;
1;2020-03-31;4026;Zwolle;890;
1;2020-04-01;9016;Arnhem;984;
1;2020-04-01;7022;Etten;2493;
1;2020-04-01;13010;Haarlem Waarderpolder;1606;
1;2020-04-01;25020;Kaatsheuvel;2025;
1;2020-04-01;25027;Lage Zwaluwe;883;
1;2020-04-01;13030;Leimuiden;1642;
1;2020-04-01;5012;Oldenzaal;1611;
1;2020-04-01;3028;Sleen;721;
1;2020-04-01;23002;Terneuzen;732;
1;2020-04-02;12022;Beverwijk;1041;
1;2020-04-02;30007;Bosscherveld;4350;
1;2020-04-02;30020;Venray;1802;
1;2020-04-05;10027;Amersfoort;1344;
1;2020-04-05;27008;'S Hertogenbosch;1689;
1;2020-04-05;29003;Land Van Cuijk;4264;
1;2020-04-05;6004;Lelystad;729;
1;2020-04-05;23002;Terneuzen;1336;
1;2020-04-05;4027;Tollebeek;1668;
1;2020-04-06;28005;Dinther;3224;
1;2020-04-06;32002;Tilburg;222;
1;2020-04-07;9016;Arnhem;175;
1;2020-04-07;3010;Assen;74;
1;2020-04-07;1033;Garmerwolde;951;
1;2020-04-07;13010;Haarlem Waarderpolder;1546;
1;2020-04-07;2032;Harlingen;321;
1;2020-04-07;2011;Leeuwarden;903;
1;2020-04-07;13030;Leimuiden;870;
1;2020-04-07;1008;Stadskanaal;37;
1;2020-04-07;10009;Utrecht;1484;
1;2020-04-07;21001;Walcheren;1053;
1;2020-04-07;4026;Zwolle;1844;
1;2020-04-08;12022;Beverwijk;1093;
1;2020-04-08;7022;Etten;2199;
1;2020-04-08;25020;Kaatsheuvel;1585;
1;2020-04-08;25027;Lage Zwaluwe;1990;
1;2020-04-08;6004;Lelystad;1658;
1;2020-04-08;30007;Bosscherveld;4706;
1;2020-04-08;5012;Oldenzaal;785;
